"","SpeciesID","Num_TreeIDs_Train","Num_TreeIDs_Test"
"1","ACNE2",1,2
"2","ACSA3",2,3
"3","AEFL",2,2
"4","CACA38",7,7
"5","CAOV2",4,5
"6","CAOV3",1,1
"7","CATO6",2,2
"8","CELA",2,2
"9","DIVI5",1,1
"10","FAGR",1,1
"11","FRAM2",4,5
"12","FRAMCO",4,4
"13","FRAXI",1,2
"14","JUNI",2,3
"15","LIST2",4,5
"16","LITU",10,11
"17","PIEC2",11,11
"18","QUAL",15,15
"19","QURU",3,4
"20","QUSH",3,4
"21","QUVE",1,2
"22","TIAM",5,6
