"","SpeciesID","Num_TreeIDs_Train","Num_TreeIDs_Test"
"1","ACSA3",2,3
"2","AEFL",2,2
"3","CACA38",7,7
"4","CAOV2",4,5
"5","CAOV3",1,1
"6","CATO6",2,2
"7","CELA",1,2
"8","DIVI5",1,1
"9","FAGR",1,1
"10","FRAM2",4,5
"11","FRAMCO",3,4
"12","FRAXI",1,2
"13","JUNI",2,2
"14","LIST2",4,5
"15","LITU",8,9
"16","PIEC2",11,11
"17","QUAL",15,15
"18","QURU",3,4
"19","QUSH",3,4
"20","QUVE",1,2
"21","TIAM",4,5
