"class_id","class_name"
1,"ACSA3"
2,"AEFL"
3,"CACA38"
4,"CAOV2"
5,"CAOV3"
6,"CATO6"
7,"CELA"
8,"DIVI5"
9,"FAGR"
10,"FRAM2"
11,"FRAMCO"
12,"FRAXI"
13,"JUNI"
14,"LIST2"
15,"LITU"
16,"PIEC2"
17,"QUAL"
18,"QURU"
19,"QUSH"
20,"QUVE"
21,"TIAM"
