"Iteration","Accuracy","Kappa","P_Value_Acc_NIR"
40,0.928240740740741,0.91739452257587,9.86436575348172e-219
41,0.939814814814815,0.930687203791469,3.544573570729e-227
42,0.94212962962963,0.933471318746304,6.46466061545598e-229
43,0.918981481481482,0.906832298136646,3.00999086279205e-212
44,0.965277777777778,0.960088691796009,1.93501780387951e-247
45,0.93287037037037,0.922758212488902,4.61540184123688e-222
46,0.962962962962963,0.957465662383695,1.76636473475252e-245
47,0.900462962962963,0.88531634316195,6.70720328700929e-200
48,0.972222222222222,0.968056787932564,1.67139903280886e-253
49,0.9375,0.928085232317254,1.86691840854455e-225
50,0.944444444444444,0.936085219707057,1.13091568145422e-230
51,0.935185185185185,0.925608856088561,9.45852224709174e-224
52,0.94212962962963,0.933500812767844,6.46466061545598e-229
53,0.953703703703704,0.946769185272808,6.7484169690222e-238
54,0.958333333333333,0.952035529237602,1.2225433105331e-241
55,0.930555555555556,0.920212765957447,2.17169129866851e-220
56,0.949074074074074,0.941437444543035,3.03442871794629e-234
57,0.946759259259259,0.9387936132466,1.89463104265749e-232
58,0.94212962962963,0.933422103861518,6.46466061545598e-229
59,0.914351851851852,0.901464713715047,4.35895096389316e-209
60,0.939814814814815,0.930646117368109,3.544573570729e-227
61,0.935185185185185,0.9253665037761,9.45852224709174e-224
62,0.93287037037037,0.922701021768103,4.61540184123688e-222
63,0.939814814814815,0.930728241563055,3.544573570729e-227
64,0.94212962962963,0.933412252145605,6.46466061545598e-229
65,0.944444444444444,0.936056838365897,1.13091568145422e-230
66,0.935185185185185,0.925355450236967,9.45852224709174e-224
67,0.960648148148148,0.954753807481887,1.51393023239167e-243
68,0.9375,0.928,1.86691840854455e-225
69,0.944444444444444,0.93610412660849,1.13091568145422e-230
70,0.9375,0.928074589314785,1.86691840854455e-225
71,0.921296296296296,0.909387029908203,7.55675812247129e-214
72,0.949074074074074,0.941437444543035,3.03442871794629e-234
73,0.958333333333333,0.952035529237602,1.2225433105331e-241
74,0.951388888888889,0.944115907746895,4.63732910481435e-236
75,0.914351851851852,0.90161028216871,4.35895096389316e-209
76,0.94212962962963,0.933500812767844,6.46466061545598e-229
77,0.925925925925926,0.914628723877279,4.32984380167365e-217
78,0.928240740740741,0.917357819905213,9.86436575348172e-219
79,0.9375,0.928095872170439,1.86691840854455e-225
80,0.939814814814815,0.930676936750111,3.544573570729e-227
81,0.944444444444444,0.936085219707057,1.13091568145422e-230
82,0.935185185185185,0.925465838509317,9.45852224709174e-224
83,0.946759259259259,0.938666666666667,1.89463104265749e-232
84,0.946759259259259,0.9387936132466,1.89463104265749e-232
85,0.935185185185185,0.9254327563249,9.45852224709174e-224
86,0.94212962962963,0.933471318746304,6.46466061545598e-229
87,0.953703703703704,0.946729801716484,6.7484169690222e-238
88,0.94212962962963,0.933412252145605,6.46466061545598e-229
89,0.9375,0.928117142434551,1.86691840854455e-225
90,0.918981481481482,0.906777153003847,3.00999086279205e-212
91,0.930555555555556,0.920011850096282,2.17169129866851e-220
92,0.918981481481482,0.906749555950266,3.00999086279205e-212
93,0.956018518518518,0.949378330373002,9.33029858313259e-240
94,0.939814814814815,0.930840845278558,3.544573570729e-227
95,0.939814814814815,0.930738493414237,3.544573570729e-227
96,0.94212962962963,0.933471318746304,6.46466061545598e-229
97,0.925925925925926,0.914742451154529,4.32984380167365e-217
98,0.939814814814815,0.930769230769231,3.544573570729e-227
99,0.944444444444444,0.936075762059781,1.13091568145422e-230
100,0.930555555555556,0.920106524633822,2.17169129866851e-220
