"Iteration","Accuracy","Kappa","P_Value_Acc_NIR"
1,0.928240740740741,0.91740674955595,9.86436575348172e-219
2,0.946759259259259,0.938739271973957,1.89463104265749e-232
3,0.956018518518518,0.94939331163066,9.33029858313259e-240
4,0.967592592592593,0.962754951226722,1.98254155671806e-249
5,0.9375,0.927989331752852,1.86691840854455e-225
6,0.949074074074074,0.941411451398136,3.03442871794629e-234
7,0.939814814814815,0.930738493414237,3.544573570729e-227
8,0.939814814814815,0.930830623706769,3.544573570729e-227
9,0.94212962962963,0.933422103861518,6.46466061545598e-229
10,0.921296296296296,0.909494232475599,7.55675812247129e-214
11,0.935185185185185,0.9254327563249,9.45852224709174e-224
12,0.953703703703704,0.946745562130178,6.7484169690222e-238
13,0.930555555555556,0.920047379330767,2.17169129866851e-220
14,0.930555555555556,0.920035539760107,2.17169129866851e-220
15,0.914351851851852,0.90150842945874,4.35895096389316e-209
16,0.9375,0.928159645232816,1.86691840854455e-225
17,0.935185185185185,0.925377554042049,9.45852224709174e-224
18,0.949074074074074,0.941454760496747,3.03442871794629e-234
19,0.949074074074074,0.941489361702128,3.03442871794629e-234
20,0.946759259259259,0.938766454666469,1.89463104265749e-232
21,0.949074074074074,0.941428782724449,3.03442871794629e-234
22,0.939814814814815,0.93079994085465,3.544573570729e-227
23,0.944444444444444,0.936123022327369,1.13091568145422e-230
24,0.94212962962963,0.933362949800089,6.46466061545598e-229
25,0.967592592592593,0.96274393849793,1.98254155671806e-249
26,0.951388888888889,0.944157187176835,4.63732910481435e-236
27,0.958333333333333,0.95207100591716,1.2225433105331e-241
28,0.946759259259259,0.938766454666469,1.89463104265749e-232
29,0.925925925925926,0.914855875831486,4.32984380167365e-217
30,0.9375,0.928031985784096,1.86691840854455e-225
31,0.928240740740741,0.917553191489362,9.86436575348172e-219
32,0.949074074074074,0.941402781888133,3.03442871794629e-234
33,0.930555555555556,0.920165582495565,2.17169129866851e-220
34,0.965277777777778,0.960106382978723,1.93501780387951e-247
35,0.914351851851852,0.901493861854755,4.35895096389316e-209
36,0.939814814814815,0.930738493414237,3.544573570729e-227
37,0.949074074074074,0.941454760496747,3.03442871794629e-234
38,0.916666666666667,0.904156189912735,1.1627057835551e-210
39,0.939814814814815,0.930758988015979,3.544573570729e-227
